Título,estructura-generacion_07-2023_06-2025,,,,,,,,,,,,,,,,,,,,,,,
Comunidades autónomas,PAÍS VASCO,,,,,,,,,,,,,,,,,,,,,,,
Magnitudes,MWh,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,jul/23,ago/23,sep/23,oct/23,nov/23,dic/23,ene/24,feb/24,mar/24,abr/24,may/24,jun/24,jul/24,ago/24,sep/24,oct/24,nov/24,dic/24,ene/25,feb/25,mar/25,abr/25,may/25,jun/25
Hidráulica,"15693,176","14629,595","12854,486","11907,369","22455,815","33506,729","42107,962","30469,566","57224,467","22924,272","24861,134","16915,493","14711,169","11289,637","15354,551","28199,941","31032,562","69740,275","31433,082","47120,083","47223,478","40696,509","30565,965","15929,864"
Ciclo combinado,"307480,137","261777,904","367783,991","234660,992","139440,584","154010,233","247845,688","130219,321","166969,333","154323,537","165569,697","187643,483","255075,337","249823,046","230033,773","195255,801","278216,826","576355,308","320039,1","266105,087","170519,247","186008,931","170073,991","244086,656"
Eólica,"16560,265","18512,412","22392,775","25912,176","28402,299","36483,794","29368,62","26312,491","16340,753","16188,326","15608,533","13418,437","16742,47","16033,656","17425,128","24457,798","28091,645","27478,632","42453,615","23179,538","30267,385","19498,46","12106,393","10038,239"
Solar fotovoltaica,"7443,921","7114,9","6178,76","4658,316","2473,584","2063,322","2734,664","3274,68","5525,091","7158,128","7636,463","7289,476","9231,739","8425,259","5940,79","3798,667","3045,53","2060,033","2607,789","3925,344","4491,474","6326,798","6069,079","8403,594"
Otras renovables,"944,954","844,051","885,788","902,349","1018,006","1354,866","1374,7","1306,738","1291,208","1394,325","1285,581","1111,88","955,854","715,186","618,349","765,148","705,219","852,898","775,361","771,176","841,657","862,344","906,734","896,426"
Cogeneración,"99671,024","89857,029","105687,837","86824,852","46527,005","81966,343","136484,514","106937,791","70650,639","62875,965","115670,692","113114,776","107352,639","96493,694","95093,391","87141,81","115001,781","114230,235","104140,151","84018,798","75421,561","77652,619","88561,226","113688,879"
Residuos no renovables,"45914,4375","44155,6015","44275,182","43055,8955","30133,421","43649,327","43668,94","34091,83","21771,0885","18266,2035","16995,4315","32152,45","44669,6995","46491,433","42092,5625","41460,771","40576,0295","43963,293","35926,543","38948,177","29309,3175","16802,631","11501,4365","14790,351"
Residuos renovables,"33262,7325","30480,2805","29085,946","26469,7695","18869,471","27738,817","27728,708","20972,128","7716,2135","3764,9065","3513,6835","18625,036","28866,3005","30488,043","27944,3735","25925,853","27264,6735","28588,677","21190,473","25020,732","15971,0155","3025,54","2478,0075","3519,878"
Generación total,"526970,647","467371,773","589144,765","434391,719","289320,185","380773,431","531313,7960000001","353584,54500000004","347488,79300000006","286895,663","351141,21499999997","390271,031","477605,208","459759,954","434502,91799999995","407005,789","523934,266","863269,351","558566,114","489088,935","374045,135","350873,832","322262,83200000005","411353,887"
 ,,,,,,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,,,,,,
 ,Definitivo: 01/07/2023 - 30/09/2024,,,,,,,,,,,,,,,,,,,,,,,
 ,Provisional: 01/10/2024 - 30/06/2025,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fecha exportación,04/12/2025 - 15:32:21,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,,,,,,
