,Energía Solar
1255,42918.12
1,802.39
1179,400048.56
1258,43160.33
965,148712.07
1092,170980.18
894,641598.02
512,21923.65
12,1937.83
1196,354541.65
982,6425.76
1059,423.99
833,26976.57
1253,26358.77
862,103360.6
779,197272.3
482,173499.91
1073,588.89
782,23.07
171,21452.85
292,730322.29
207,1093934.35
1166,38040.01
844,43677.35
707,471628.41
1324,79679.07
338,952286.75
493,338892.42
1177,383961.2
723,934898.48
156,22511.7
420,838964.02
357,728490.93
1083,325.3
312,603256.87
828,37278.68
1322,97303.34
785,36.23
60,1280236.91
157,28460.14
1137,32802.91
615,15616.35
1316,39150.51
52,690473.98
586,15261.73
938,97910.32
786,56.44
1144,35078.38
558,12909.7
214,577056.97
342,838964.02
748,232050.56
365,592288.19
809,31.7
274,655593.0
823,18553.86
273,468401.25
1304,33521.51
1121,148712.07
89,947918.31
184,24964.97
160,21923.65
710,892010.71
18,1273.14
530,52176.51
951,135525.93
1153,34657.09
61,1397637.03
676,35078.38
1075,569.9
433,22135.51
165,38148.74
929,16257.05
450,34190.09
739,1271710.84
520,28344.31
75,1394290.4
15,971.43
541,55739.29
202,1015812.2
999,8425.26
424,1517930.5
263,838964.02
1060,506.84
1125,392563.65
864,216082.7
229,1089935.83
589,4453.85
1326,170980.18
1100,289258.3
687,39240.62
1159,30893.29
347,1740580.92
1337,224824.92
1141,35168.39
850,33532.66
1053,398.85
1151,34484.44
310,1189010.75
871,190680.39
1172,182697.33
1200,265083.05
518,34655.08
521,19523.79
303,764895.76
466,38040.01
1274,38878.26
567,16210.54
1063,527.55
1262,19523.79
159,26358.77
356,471628.41
380,624292.5
416,1138975.84
825,35804.48
1072,471.39
112,1517930.5
592,9195.75
783,25.57
1356,194841.56
362,947918.31
370,660450.83
1099,287106.99
368,498233.56
553,15163.5
943,287106.99
551,9503.68
1256,41671.78
1156,36088.27
967,249860.1
890,362366.11
399,892010.71
308,1456384.52
164,41671.78
389,886609.47
383,984439.03
875,112346.49
1000,5940.79
311,691729.06
813,77.43
460,35998.34
684,34657.09
278,423031.92
1248,28460.14
1067,350.63
177,49255.48
1203,417250.13
1358,362366.11
243,892010.71
693,34640.23
1259,43280.85
719,666607.33
945,271396.44
762,275779.45
1061,498.34
218,1426192.75
283,895975.88
1279,32063.37
390,603256.87
1346,338392.44
91,656978.9
902,5541.38
883,338892.42
353,458843.05
958,400208.5
507,22511.7
920,28998.06
1204,569025.36
182,38878.26
1175,206100.92
831,34955.54
504,641598.02
429,30015.15
1192,495381.0
672,30784.8
1284,53135.65
479,319043.04
438,30784.8
84,728490.93
584,11151.81
970,590953.59
940,103360.6
931,28074.4
1338,319043.04
1362,641598.02
947,319043.04
401,947918.31
8,2668.85
254,934898.48
869,319043.04
1319,63786.13
1188,240867.57
57,730322.29
819,33232.01
962,454148.5
832,38605.56
1344,112346.49
1005,3925.34
919,23962.93
1352,454148.5
483,135525.93
787,82.7
572,12508.31
1006,4491.47
174,24597.11
1269,49255.48
569,17649.25
679,24743.62
195,423685.25
770,157365.79
249,658230.97
1193,572609.31
497,148712.07
668,20383.08
1176,312663.14
830,44645.79
351,603256.87
246,767192.8
287,524751.0
