,Energía Solar
413,1276864.64
342,838964.02
1260,34655.08
11,2588.87
596,21333.9
477,271396.44
803,74.29
65,892491.71
976,2473.58
71,924551.66
992,2734.66
1107,135525.93
814,66.99
1011,7917.38
1365,268814.65
370,660450.83
1307,65014.2
360,892010.71
331,660450.83
1403,251437.25
1100,289258.3
603,13752.01
92,592288.19
143,751547.27
1244,1456384.52
535,24964.97
1087,531.96
1250,18814.61
290,605983.59
1288,42652.54
745,122610.74
1062,616.41
1348,400208.5
154,1080605.88
1114,400208.5
157,28460.14
635,947918.31
650,1138975.84
658,1517930.5
155,627949.37
996,7636.46
1150,30530.78
249,658230.97
458,30893.29
306,1011231.94
332,934898.48
461,36685.53
668,20383.08
435,32802.91
780,39.24
717,658230.97
775,320439.13
1350,451443.66
571,10811.73
671,30789.81
953,112346.49
1144,35078.38
687,39240.62
365,592288.19
785,36.23
980,3555.69
1013,2535.24
44,352727.66
34,2720.16
270,1271710.84
1140,30784.8
152,1089935.83
346,1517930.5
1266,24597.11
1208,251437.25
4,1035.82
647,1210240.6
701,31257.74
1217,895975.88
470,97910.32
955,254864.75
863,162551.11
840,57900.32
350,886609.47
542,53135.65
356,471628.41
1340,173499.91
760,116562.54
6,1778.75
112,1517930.5
741,175004.17
694,35998.34
1347,381615.25
942,216082.7
1131,30015.15
811,71.2
1127,743115.28
253,660450.83
756,144656.98
610,21966.25
742,152049.78
799,52.93
74,1456384.52
75,1394290.4
1202,368751.2
235,496101.24
13,1215.84
590,7966.9
872,173499.91
333,1186740.06
503,743115.28
986,7114.9
1262,19523.79
1124,362366.11
693,34640.23
1333,287106.99
420,838964.02
615,15616.35
1399,569025.36
1312,58812.06
661,1271710.84
541,55739.29
305,582705.3
443,27647.28
403,656978.9
265,833878.19
564,9007.24
2,777.35
7,2359.49
347,1740580.92
1211,453767.66
421,833878.19
716,592288.19
899,10574.95
240,728490.93
641,498233.56
31,1841.65
1356,194841.56
489,381615.25
551,9503.68
909,18952.38
926,9607.43
554,16283.12
853,62273.94
1387,495381.0
395,471628.41
1234,1057979.02
488,338392.44
285,690473.98
324,767192.8
29,921.4
374,1276864.64
830,44645.79
52,690473.98
355,429269.28
118,423685.25
947,319043.04
61,1397637.03
624,603256.87
238,429269.28
134,456649.59
657,1195413.9
583,14669.57
1378,239349.85
80,458843.05
703,496101.24
869,319043.04
588,10574.95
586,15261.73
1083,325.3
1146,26420.65
644,934898.48
656,984439.03
1397,368751.2
1182,344852.97
362,947918.31
597,18952.38
1117,338892.42
352,496101.24
1309,71485.35
969,392563.65
616,16257.05
795,24.74
1206,499960.6
750,213244.92
637,767192.8
68,487465.84
839,44258.64
102,1210240.6
1004,2607.79
481,190680.39
391,458843.05
1129,588152.75
312,603256.87
515,41671.78
572,12508.31
400,1020039.28
517,38148.74
638,592288.19
973,588152.75
1352,454148.5
724,1061244.16
842,59708.19
203,940804.85
747,213457.67
595,23503.24
123,792766.77
412,1186740.06
267,1195413.9
824,22502.88
733,833878.19
691,30893.29
228,1306088.79
1255,42918.12
941,162551.11
291,446892.68
1310,79078.74
754,184830.04
377,1138975.84
888,194841.56
1257,38148.74
1280,46844.57
204,1035900.65
153,1002033.31
1383,240867.57
821,23135.96
736,1517930.5
89,947918.31
1066,294.4
923,16259.14
1252,21923.65
33,2149.55
1238,487465.84
525,24597.11
184,24964.97
277,352727.66
343,833878.19
890,362366.11
972,641598.02
386,1740580.92
372,1186740.06
318,728490.93
1149,26402.86
109,833878.19
649,952286.75
1220,1113144.44
1367,182697.33
700,38040.01
791,60.53
907,21333.9
1361,743115.28
1010,8708.41
800,65.74
73,1332713.18
1332,216082.7
866,289258.3
662,886609.47
1272,48893.38
1289,36233.7
336,1210240.6
283,895975.88
1160,34640.23
1128,641598.02
348,1544518.42
617,10437.24
246,767192.8
531,48893.38
433,22135.51
263,838964.02
945,271396.44
582,16017.72
828,37278.68
341,624292.5
898,11106.57
1110,173091.12
278,423031.92
883,338892.42
79,496101.24
104,1138975.84
940,103360.6
37,2296.58
895,588152.75
500,362366.11
497,148712.07
1204,569025.36
1076,660.75
792,57.63
86,836786.21
93,658230.97
748,232050.56
91,656978.9
509,18814.61
858,170980.18
486,173091.12
685,34190.09
1079,470.94
450,34190.09
1229,1020901.62
707,471628.41
753,192466.95
116,886609.47
1111,254864.75
1248,28460.14
70,582705.3
313,496101.24
831,34955.54
266,984439.03
248,592288.19
162,38270.68
1311,71110.34
415,952286.75
131,571504.69
937,115920.81
279,610852.23
1355,148712.07
10,2804.43
501,392563.65
1061,498.34
434,20383.08
726,1210240.6
1092,170980.18
621,24999.95
513,38270.68
1296,63347.72
160,21923.65
558,12909.7
1299,53056.32
600,10618.45
197,424036.18
1357,249860.1
812,62.78
679,24743.62
1398,417250.13
8,2668.85
648,1061244.16
985,7443.92
398,836786.21
366,658230.97
819,33232.01
1012,6629.45
287,524751.0
1054,237.64
1082,278.12
904,9195.75
1170,268814.65
1277,24964.97
585,11106.57
962,454148.5
1369,142219.18
875,112346.49
1336,342781.07
490,400208.5
592,9195.75
1161,35998.34
254,934898.48
1313,61325.37
236,458843.05
88,1020039.28
165,38148.74
688,36088.27
823,18553.86
805,59.3
149,814686.85
911,10618.45
454,36088.27
781,22.47
565,12718.4
1064,502.48
561,4846.15
987,6178.76
387,1544518.42
430,25300.85
0,1340.93
401,947918.31
1328,97910.32
529,45022.02
906,8576.91
877,254864.75
192,55739.29
502,590953.59
139,1096965.53
743,127049.72
591,5541.38
100,1061244.16
1360,590953.59
202,1015812.2
1125,392563.65
462,42637.26
280,770414.16
77,691729.06
147,756471.44
334,1061244.16
959,492189.24
363,767192.8
1374,400048.56
556,17549.28
773,244350.58
1112,338392.44
552,12918.0
376,952286.75
1165,44123.75
182,38878.26
32,1816.06
576,8816.79
215,849493.36
737,1740580.92
1096,103360.6
189,56048.19
914,10047.07
193,45930.11
578,11638.47
1113,381615.25
816,59.85
547,7886.69
82,429269.28
1341,135525.93
655,833878.19
260,1138975.84
239,471628.41
1145,27647.28
148,932767.52
905,8855.24
852,48496.02
1138,30072.79
206,805476.73
46,770414.16
121,443761.73
1077,607.17
